#,Game ID,Arabic,English,French,Spanish,Swedish,Russian,Chinese,Hindi,Subject,Topic,Grade,Status
11,g_arch,مختبر الألغاز,The Puzzle Lab,Le Laboratoire d'Énigmes,El Laboratorio de Acertijos,Gåtlaboratoriet,Лаборатория Загадок,谜题实验室,पहेली प्रयोगशाला,الفيزياء,مبدأ أرخميدس والطفو,9,✅ كاملة
12,g_khaleej,مغامرات خليج الأبطال,Heroes Bay Adventures,Les Aventures de la Baie des Héros,Las Aventuras de la Bahía de los Héroes,Hjältarnas Vikar Äventyr,Приключения Залива Героев,英雄湾大冒险,हीरोज़ बे के रोमांच,الرياضيات,جداول الضرب 2-6,1-3,✅ كاملة
13,g_sally,مغامرة سالي مع الأرقام,Sally's Number Adventure,L'Aventure Numérique de Sally,La Aventura Numérica de Sally,Sallys Numeriska Äventyr,Числовое Приключение Салли,莎莉的数字冒险,सैली का संख्या रोमांच,الرياضيات,الأرقام والجمع والطرح,1-3,✅ كاملة
14,g_noona,نُونا وحَرْفوش,Noona & Harfoosh,Noona & Harfoosh,Noona & Harfoosh,Noona & Harfoosh,Нуна и Харфуш,努娜与哈尔福什,नूना और हरफ़ूश,اللغة الإنجليزية,الأحرف والكلمات,KG,✅ كاملة
15,g_elmora,أكاديمية إلمورا,Elmora Academy,L'Académie d'Elmora,Academia Elmora,Elmora Akademi,Академия Элмора,埃尔莫拉学院,एल्मोरा अकादमी,اللغة الإنجليزية,جمل الشرط,10,✅ كاملة
16,g_smurfs,السنافر,The Smurfs,Les Schtroumpfs,Los Pitufos,Smurferna,Смурфики,蓝精灵,स्मर्फ्स,البيولوجيا,الخلية الحيوانية (المستوى 1),"8,10",✅ كاملة
17,g_island,الجزيرة المسحورة,The Enchanted Island,L'Île Enchantée,La Isla Encantada,Den Förtrollade Ön,Чарованный Остров,魔法之岛,जादुई द्वीप,البيولوجيا,الخلية النباتية (رحلة سندباد),"8,10",✅ كاملة
18,g_conan,مَن القاتل؟,Who's the Killer?,Qui est l'Assassin?,¿Quién es el Asesino?,Vem är Mördaren?,Кто Убийца?,凶手是谁?,हत्यारा कौन है?,البيولوجيا,الوراثة المندلية,10,✅ كاملة
19,g_lock,لغز مخطط القفل,The Lock Diagram Puzzle,L'Énigme du Schéma de Verrouillage,El Acertijo del Diagrama de Bloqueo,Låsdiagrammets Gåta,Загадка Диаграммы Замка,锁图谜题,ताला आरेख पहेली,البيولوجيا,الجهاز التناسلي الذكري,10,✅ كاملة
20,g_cosette,مغامرة كوزيت النحوية,Cosette's Grammar Adventure,L'Aventure Grammaticale de Cosette,La Aventura Gramatical de Cosette,Cosettes Grammatiska Äventyr,Грамматическое Приключение Козетт,珂赛特的语法冒险,कोज़ेट का व्याकरण साहसिक,اللغة العربية,الجمل والبلاغة والنحو,8-10,✅ كاملة
21,g_castle,لغز القصر الملعون,The Cursed Castle Puzzle,L'Énigme du Château Maudit,El Acertijo del Castillo Maldito,Den Förbannade Slottets Gåta,Загадка Проклятого Замка,诅咒城堡谜题,शापित महल पहेली,اللغة العربية,الكلمات المصغرة,10,✅ كاملة
22,g_aladdin,علاء الدين والكنز المفقود,Aladdin and the Lost Treasure,Aladdin et le Trésor Perdu,Aladín y el Tesoro Perdido,Aladdin och den Förlorade Skatten,Алладин и Потерянное Сокровище,阿拉丁和失落的宝藏,अलादीन और खोया खजाना,البيولوجيا,أجزاء الخلية (العضيات),10,✅ كاملة
23,g_factory47,مصنع 47,Factory 47,Usine 47,Fábrica 47,Fabrik 47,Завод 47,47号工厂,फ़ैक्ट्री 47,الفيزياء,القوة والتيار والحمل الكهربائي,11,✅ كاملة
24,g_room90,الغرفة 90,Room 90,Chambre 90,Habitación 90,Rum 90,Комната 90,90号房间,कमरा 90,الرياضيات,نظرية فيثاغورس,8,✅ كاملة
25,g_multi,القصر الملعون - تحدي جماعي,The Cursed Castle - Team Challenge,Le Château Maudit - Défi d'Équipe,El Castillo Maldito - Desafío en Equipo,Det Förbannade Slottet - Lagutmaning,Проклятый Замок - Командный Вызов,诅咒城堡 - 团队挑战,शापित महल - टीम चुनौती,اللغة العربية,الكلمات المصغرة (نسخة جماعية),10,✅ كاملة
